cost,raw_sum_km_s,departure_vinf_km_s,arrival_vinf_km_s,powered_flyby_dv_km_s,turn_excess_deg,min_turn_margin_deg,tof_total_days,epochs_et_s,tofs_days,leg_paths,event0_KERBIN_et_s,event1_JOOL_et_s,leg1_path,leg1_tof_days
8.035491030644751,7.956093357817919,4.588482517440909,3.3676108403770106,0,0,,580.0,"658368081.851686,708480081.851686",580,0rev_cw1,658368081.8516864,708480081.8516864,0rev_cw1,580.0
8.032779147237322,7.958857175984755,5.157455808624442,2.801401367360313,0,0,,540.0,"226368081.851686,273024081.851686",540,0rev_cw0,226368081.8516864,273024081.85168636,0rev_cw0,540.0
8.044794482050227,7.959921107649132,4.556337394273698,3.4035837133754336,0,0,,620.0,"330048081.851686,383616081.851686",620,0rev_cw1,330048081.8516864,383616081.8516864,0rev_cw1,620.0
8.044978863895441,7.960105489494346,4.663533419580125,3.296572069914222,0,0,,620.0,"88128081.8516864,141696081.851686",620,0rev_cw0,88128081.8516864,141696081.85168642,0rev_cw0,620.0
8.058433605151015,7.962608827601391,4.782577179493818,3.180031648107573,0,0,,700.0,"36288081.8516864,96768081.8516864",700,0rev_cw1,36288081.8516864,96768081.8516864,0rev_cw1,700.0
8.033181392618886,7.964735122940583,5.161583424005428,2.8031516989351544,0,0,,500.0,"70848081.8516864,114048081.851686",500,0rev_cw0,70848081.8516864,114048081.8516864,0rev_cw0,500.0
8.033482407003186,7.9650361373248835,4.849869417907966,3.115166719416917,0,0,,500.0,"295488081.851686,338688081.851686",500,0rev_cw0,295488081.8516864,338688081.8516864,0rev_cw0,500.0
8.05896350494781,7.968614428972451,4.507485011420941,3.46112941755151,0,0,,660.0,"88128081.8516864,145152081.851686",660,0rev_cw0,88128081.8516864,145152081.85168642,0rev_cw0,660.0
8.0635059762229,7.973156900247542,4.472036589920798,3.501120310326744,0,0,,660.0,"451008081.851686,508032081.851686",660,0rev_cw1,451008081.8516864,508032081.8516864,0rev_cw1,660.0
8.074356495745556,7.978531718195933,4.692515632245944,3.2860160859499894,0,0,,700.0,"1728081.8516864,62208081.8516864",700,0rev_cw1,1728081.8516864013,62208081.8516864,0rev_cw1,700.0
8.077531411586515,7.981706634036891,4.825613754458913,3.1560928795779786,0,0,,700.0,"571968081.851686,632448081.851686",700,0rev_cw1,571968081.8516864,632448081.8516864,0rev_cw1,700.0
