cost,raw_sum_km_s,departure_vinf_km_s,arrival_vinf_km_s,powered_flyby_dv_km_s,turn_excess_deg,min_turn_margin_deg,tof_total_days,epochs_et_s,tofs_days,leg_paths,event0_KERBIN_et_s,event1_KERBIN_et_s,event2_JOOL_et_s,leg1_path,leg1_tof_days,leg2_path,leg2_tof_days,flyby1_KERBIN_vinf_in_km_s,flyby1_KERBIN_vinf_out_km_s,flyby1_KERBIN_vinf_mismatch_km_s,flyby1_KERBIN_turn_required_deg,flyby1_KERBIN_turn_max_deg,flyby1_KERBIN_turn_margin_deg,flyby1_KERBIN_turn_excess_deg
38.82419190474666,7.872953546129925,4.599872772903208,3.0652156112665865,0.2078651619601315,0.0,39.783204083053036,1310.0,"648000081.851686,711072081.851686,761184081.851686","730,580","0rev_cw1,0rev_cw1",648000081.8516864,711072081.8516864,761184081.8516864,0rev_cw1,730.0,0rev_cw1,580.0,4.602960748758421,4.8108259107185525,0.2078651619601315,7.724370501218001,47.50757458427104,39.783204083053036,0.0
29.629080917248505,7.873188631242428,4.540221286887199,3.1878758029975014,0.1450915413577274,0.0,3.650715837352568,1536.0,"167616081.851686,243302481.851686,300326481.851686","876,660","left_cw1,0rev_cw1",167616081.8516864,243302481.8516864,300326481.85168636,left_cw1,876.0,0rev_cw1,660.0,4.538919936804718,4.684011478162446,0.1450915413577274,45.09832425043845,48.74904008779102,3.650715837352568,0.0
36.258651111090536,7.873298169878634,4.53847501845378,3.1463170409949845,0.18850611042986998,0.0,2.734634711067124,2576.0,"72576081.8516864,148262481.851686,295142481.851686","876,1700","left_cw1,left_cw1",72576081.8516864,148262481.85168642,295142481.8516864,left_cw1,876.0,left_cw1,1700.0,4.5444600375941,4.73296614802397,0.18850611042986998,45.65575677774289,48.39039148881001,2.734634711067124,0.0
32.55250213494876,7.876583361880422,4.6570118542381485,3.054121175620661,0.16545033202161274,0.0,22.973931224885273,1635.0,"183168081.851686,277776081.851686,324432081.851686","1095,540","0rev_cw1,0rev_cw0",183168081.8516864,277776081.85168636,324432081.85168636,0rev_cw1,1095.0,0rev_cw0,540.0,4.655939656337156,4.4904893243155435,0.16545033202161274,26.28431822803798,49.25824945292325,22.973931224885273,0.0
37.12742698391397,7.880049348901624,4.51097368946929,3.173588433505654,0.19548722592668,0.0,21.10673744284501,2336.0,"675648081.851686,751334481.851686,877478481.851686","876,1460","left_cw1,left_cw1",675648081.8516864,751334481.8516864,877478481.8516864,left_cw1,876.0,left_cw1,1460.0,4.544279567785433,4.739766793712113,0.19548722592668,27.24031346220753,48.34705090505254,21.10673744284501,0.0
13.010038970746065,7.882131529281153,5.069255053202952,2.7781513738820394,0.03472510219616165,0.0,14.849347342339298,1124.0,"176256081.851686,226713681.851686,273369681.851686","584,540","right_cw1,0rev_cw0",176256081.8516864,226713681.8516864,273369681.85168636,right_cw1,584.0,0rev_cw0,540.0,5.107754425072162,5.142479527268324,0.03472510219616165,27.67240250597587,42.52174984831517,14.849347342339298,0.0
9.255146652293,7.882615642937477,4.5270751856493625,3.3470218095094193,0.008518647778695154,0.0,5.350722506090061,1536.0,"184896081.851686,260582481.851686,317606481.851686","876,660","left_cw1,0rev_cw0",184896081.8516864,260582481.8516864,317606481.85168636,left_cw1,876.0,0rev_cw0,660.0,4.544873239332979,4.553391887111674,0.008518647778695154,44.23157627214585,49.582298778235916,5.350722506090061,0.0
20.264395519016027,7.884197863419295,4.54641175218791,3.2562379198633775,0.0815481913680065,0.0,4.786976587376559,2376.0,"38016081.8516864,113702481.851686,243302481.851686","876,1500","left_cw1,right_cw0",38016081.8516864,113702481.8516864,243302481.85168642,left_cw1,876.0,right_cw0,1500.0,4.521344520898967,4.602892712266973,0.0815481913680065,44.62024570050108,49.40722228787764,4.786976587376559,0.0
36.04640099080127,7.887746707837245,4.513782190882455,3.185784159162663,0.1881803577921275,0.0,20.09738011242804,2336.0,"502848081.851686,578534481.851686,704678481.851686","876,1460","left_cw1,left_cw1",502848081.8516864,578534481.8516865,704678481.8516865,left_cw1,876.0,left_cw1,1460.0,4.54717093084658,4.735351288638707,0.1881803577921275,28.25964457608705,48.35702468851509,20.09738011242804,0.0
14.286932350896512,7.889542267943345,4.545259122884126,3.3036107808095805,0.04067236424963916,0.0,1.5927238174237932,2696.0,"730944081.851686,806630481.851686,963878481.851686","876,1820","left_cw1,left_cw1",730944081.8516864,806630481.8516864,963878481.8516864,left_cw1,876.0,left_cw1,1820.0,4.509625883641995,4.550298247891634,0.04067236424963916,48.24946832825488,49.84219214567867,1.5927238174237932,0.0
